Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,Age_Group,Income_Tier,Churn_Risk,Customer_Value_Segment,Family_Status,Marital_Status_Label,Education_Level_Label,Tenure_Segment,Main_Product_Category,MntTotal_Calculated,Total_Campaigns_Accepted,Campaign_Engagement,First_Accepted_Campaign
7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,44,2752,0,1,0,0,0,0,1,0,0,0,45,29,0,Middle-Aged (31-45),Low Income,At-Risk (31-60d),Bronze Spender,No Children,Married,Basic,Long-term Member,Fruits,61,0,Never Accepted,No Acceptance
63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,61,2385,1,0,0,0,0,0,0,1,0,0,1072,1042,0,Elderly (>60),High Income,Inactive (>60d),Gold Spender,No Children,Divorced,Graduation,New Member,MeatProducts,1102,0,Never Accepted,No Acceptance
59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,68,2385,1,0,0,0,0,0,0,0,1,0,296,282,0,Elderly (>60),Medium Income,At-Risk (31-60d),Silver Spender,Large Family (>1 Kid),Divorced,Master,New Member,Wines,310,0,Never Accepted,No Acceptance
17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,33,2786,0,1,0,0,0,0,0,1,0,0,41,36,0,Middle-Aged (31-45),Low Income,At-Risk (31-60d),Bronze Spender,No Children,Married,Graduation,Long-term Member,MeatProducts,46,0,Never Accepted,No Acceptance
82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,74,2741,0,0,1,0,0,0,0,0,0,1,1270,1225,2,Elderly (>60),High Income,Active (0-30d),Gold Spender,No Children,Single,PhD,Long-term Member,Wines,1315,2,Occasional Responder,Campaign 1
41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,40,2711,0,1,0,0,0,0,0,1,0,0,92,88,0,Middle-Aged (31-45),Medium Income,At-Risk (31-60d),Silver Spender,Large Family (>1 Kid),Married,Graduation,Long-term Member,Wines,96,0,Never Accepted,No Acceptance
37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,74,2826,0,0,0,1,0,0,0,1,0,0,289,261,0,Elderly (>60),Low Income,Active (0-30d),Silver Spender,No Children,Together,Graduation,Long-term Member,FishProducts,317,0,Never Accepted,No Acceptance
76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,71,2617,0,1,0,0,0,0,0,0,1,0,1606,1430,1,Elderly (>60),High Income,Inactive (>60d),Gold Spender,Small Family (1 Kid),Married,Master,Established,Wines,1782,1,Occasional Responder,Campaign 1
33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,35,2762,0,0,1,0,0,1,0,0,0,0,94,55,0,Middle-Aged (31-45),Low Income,Inactive (>60d),Silver Spender,Small Family (1 Kid),Single,2n Cycle,Long-term Member,GoldProds,133,0,Never Accepted,No Acceptance
37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,38,2849,0,1,0,0,0,0,0,1,0,0,268,220,0,Middle-Aged (31-45),Low Income,At-Risk (31-60d),Silver Spender,No Children,Married,Graduation,Long-term Member,Wines,316,0,Never Accepted,No Acceptance
2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,41,2698,0,1,0,0,0,0,0,1,0,0,1729,1728,0,Middle-Aged (31-45),Low Income,At-Risk (31-60d),Gold Spender,Small Family (1 Kid),Married,Graduation,Long-term Member,MeatProducts,1730,0,Never Accepted,No Acceptance
58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,71,2712,0,1,0,0,0,0,0,0,0,1,953,934,1,Elderly (>60),Medium Income,Inactive (>60d),Gold Spender,Small Family (1 Kid),Married,PhD,Long-term Member,Wines,972,1,Occasional Responder,Campaign 4
65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,66,2328,0,1,0,0,0,0,0,0,0,1,539,534,0,Elderly (>60),High Income,Active (0-30d),Silver Spender,Small Family (1 Kid),Married,PhD,New Member,Wines,544,0,Never Accepted,No Acceptance
40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,69,2627,0,0,0,1,0,0,0,1,0,0,345,246,0,Elderly (>60),Medium Income,Inactive (>60d),Silver Spender,Small Family (1 Kid),Together,Graduation,Established,Wines,444,0,Never Accepted,No Acceptance
18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,51,2702,0,0,1,0,0,0,0,1,0,0,62,49,0,Senior (46-60),Low Income,Inactive (>60d),Bronze Spender,No Children,Single,Graduation,Long-term Member,MeatProducts,75,0,Never Accepted,No Acceptance
53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,44,2557,0,1,0,0,0,0,0,1,0,0,216,175,0,Middle-Aged (31-45),Medium Income,Active (0-30d),Silver Spender,Large Family (>1 Kid),Married,Graduation,Established,Wines,257,0,Never Accepted,No Acceptance
38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,31,2553,0,1,0,0,0,0,0,1,0,0,121,111,0,Middle-Aged (31-45),Low Income,Active (0-30d),Silver Spender,Small Family (1 Kid),Married,Graduation,Established,MeatProducts,131,0,Never Accepted,No Acceptance
84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,55,2378,0,1,0,0,0,0,0,0,0,1,1672,1672,1,Senior (46-60),High Income,Inactive (>60d),Gold Spender,No Children,Married,PhD,New Member,MeatProducts,1672,1,Occasional Responder,Campaign 5
10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,31,2197,1,0,0,0,0,0,0,0,1,0,26,22,0,Middle-Aged (31-45),Low Income,At-Risk (31-60d),Bronze Spender,No Children,Divorced,Master,New Member,MeatProducts,30,0,Never Accepted,No Acceptance
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,57,2573,0,0,0,1,0,0,0,0,1,0,229,140,0,Senior (46-60),Low Income,At-Risk (31-60d),Silver Spender,No Children,Together,Master,Established,Wines,318,0,Never Accepted,No Acceptance
40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,50,2786,0,0,0,1,0,0,0,1,0,0,117,114,1,Senior (46-60),Medium Income,At-Risk (31-60d),Silver Spender,Small Family (1 Kid),Together,Graduation,Long-term Member,Wines,120,1,Occasional Responder,Campaign 4
46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,68,2767,1,0,0,0,0,0,0,0,0,1,259,216,0,Elderly (>60),Medium Income,Active (0-30d),Silver Spender,Large Family (>1 Kid),Divorced,PhD,Long-term Member,Wines,302,0,Never Accepted,No Acceptance
68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,74,2653,0,1,0,0,0,0,0,0,1,0,1174,1152,0,Elderly (>60),High Income,Active (0-30d),Gold Spender,No Children,Married,Master,Long-term Member,Wines,1196,0,Never Accepted,No Acceptance
49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,69,2463,0,0,1,0,0,0,0,0,1,0,62,59,0,Elderly (>60),Medium Income,At-Risk (31-60d),Bronze Spender,Large Family (>1 Kid),Single,Master,Established,Wines,65,0,Never Accepted,No Acceptance
67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,50,2339,0,1,0,0,0,0,0,0,0,1,878,843,0,Senior (46-60),High Income,At-Risk (31-60d),Gold Spender,Small Family (1 Kid),Married,PhD,New Member,Wines,913,0,Never Accepted,No Acceptance
23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,44,2459,0,1,0,0,0,1,0,0,0,0,45,9,0,Middle-Aged (31-45),Low Income,Inactive (>60d),Bronze Spender,Small Family (1 Kid),Married,2n Cycle,Established,GoldProds,81,0,Never Accepted,No Acceptance
42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,47,2297,0,0,0,0,1,0,0,1,0,0,63,59,0,Senior (46-60),Medium Income,Inactive (>60d),Bronze Spender,Small Family (1 Kid),Widow,Graduation,New Member,Wines,67,0,Never Accepted,No Acceptance
48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,77,2672,1,0,0,0,0,0,0,0,0,1,860,818,1,Elderly (>60),Medium Income,At-Risk (31-60d),Gold Spender,No Children,Divorced,PhD,Long-term Member,Wines,902,1,Occasional Responder,Campaign 3
80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,40,2585,0,1,0,0,0,0,0,1,0,0,1293,1191,0,Middle-Aged (31-45),High Income,Active (0-30d),Gold Spender,Small Family (1 Kid),Married,Graduation,Established,MeatProducts,1395,0,Never Accepted,No Acceptance
20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,35,2633,0,1,0,0,0,0,0,0,1,0,46,39,0,Middle-Aged (31-45),Low Income,Inactive (>60d),Bronze Spender,Small Family (1 Kid),Married,Master,Long-term Member,MeatProducts,53,0,Never Accepted,No Acceptance
21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,63,2711,0,0,0,1,0,0,0,1,0,0,19,16,0,Elderly (>60),Low Income,Active (0-30d),Bronze Spender,Small Family (1 Kid),Together,Graduation,Long-term Member,Wines,22,0,Never Accepted,No Acceptance
7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,45,2429,0,1,0,0,0,0,0,0,1,0,19,7,0,Middle-Aged (31-45),Low Income,Active (0-30d),Bronze Spender,Small Family (1 Kid),Married,Master,Established,GoldProds,31,0,Never Accepted,No Acceptance
79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,44,2160,0,0,1,0,0,0,0,1,0,0,810,636,0,Middle-Aged (31-45),High Income,Inactive (>60d),Gold Spender,No Children,Single,Graduation,New Member,MeatProducts,984,0,Never Accepted,No Acceptance
7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,24,2756,0,1,0,0,0,1,0,0,0,0,72,22,0,Young Adult (<30),Low Income,Active (0-30d),Bronze Spender,No Children,Married,2n Cycle,Long-term Member,GoldProds,122,0,Never Accepted,No Acceptance
41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,52,2560,0,0,0,1,0,0,0,1,0,0,42,29,0,Senior (46-60),Medium Income,Inactive (>60d),Bronze Spender,Small Family (1 Kid),Together,Graduation,Established,MeatProducts,55,0,Never Accepted,No Acceptance
72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,66,2757,0,1,0,0,0,0,0,0,0,1,1281,1243,0,Elderly (>60),High Income,At-Risk (31-60d),Gold Spender,Large Family (>1 Kid),Married,PhD,Long-term Member,Wines,1319,0,Never Accepted,No Acceptance
65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,63,2207,0,0,0,0,1,0,0,1,0,0,493,479,0,Elderly (>60),High Income,Active (0-30d),Silver Spender,Small Family (1 Kid),Widow,Graduation,New Member,Wines,507,0,Never Accepted,No Acceptance
79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,56,2846,0,1,0,0,0,0,0,0,1,0,1661,1629,0,Senior (46-60),High Income,Active (0-30d),Gold Spender,No Children,Married,Master,Long-term Member,MeatProducts,1693,0,Never Accepted,No Acceptance
35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,43,2702,0,0,1,0,0,0,0,1,0,0,69,66,0,Middle-Aged (31-45),Low Income,At-Risk (31-60d),Bronze Spender,Small Family (1 Kid),Single,Graduation,Long-term Member,FishProducts,72,0,Never Accepted,No Acceptance
82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,43,2181,1,0,0,0,0,0,0,1,0,0,1376,1135,2,Middle-Aged (31-45),High Income,At-Risk (31-60d),Gold Spender,No Children,Divorced,Graduation,New Member,MeatProducts,1617,2,Occasional Responder,Campaign 1
66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,42,2541,0,1,0,0,0,0,0,1,0,0,497,388,0,Middle-Aged (31-45),High Income,At-Risk (31-60d),Silver Spender,Large Family (>1 Kid),Married,Graduation,Established,Wines,606,0,Never Accepted,No Acceptance
82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,65,2746,0,0,0,1,0,0,0,0,1,0,1767,1577,1,Elderly (>60),High Income,At-Risk (31-60d),Gold Spender,No Children,Together,Master,Long-term Member,Wines,1957,1,Occasional Responder,Campaign 5
70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,54,2612,1,0,0,0,0,0,0,1,0,0,1053,1013,0,Senior (46-60),High Income,Active (0-30d),Gold Spender,No Children,Divorced,Graduation,Established,MeatProducts,1093,0,Never Accepted,No Acceptance
27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,32,2221,0,0,1,0,0,0,0,1,0,0,24,19,0,Middle-Aged (31-45),Low Income,At-Risk (31-60d),Bronze Spender,Small Family (1 Kid),Single,Graduation,New Member,Wines,29,0,Never Accepted,No Acceptance
55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,52,2277,0,1,0,0,0,0,0,0,0,1,475,432,0,Senior (46-60),Medium Income,Inactive (>60d),Silver Spender,Small Family (1 Kid),Married,PhD,New Member,Wines,518,0,Never Accepted,No Acceptance
75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,38,2519,0,0,1,0,0,0,0,0,1,0,1358,1278,2,Middle-Aged (31-45),High Income,Active (0-30d),Gold Spender,No Children,Single,Master,Established,Wines,1438,2,Occasional Responder,Campaign 4
66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,45,2819,0,0,0,1,0,0,0,1,0,0,606,600,0,Middle-Aged (31-45),High Income,Active (0-30d),Silver Spender,Large Family (>1 Kid),Together,Graduation,Long-term Member,Wines,612,0,Never Accepted,No Acceptance
61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,68,2655,0,0,1,0,0,0,0,1,0,0,715,546,0,Elderly (>60),Medium Income,Active (0-30d),Silver Spender,Small Family (1 Kid),Single,Graduation,Long-term Member,Wines,884,0,Never Accepted,No Acceptance
67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,69,2542,0,0,0,0,1,0,0,0,0,1,600,594,0,Elderly (>60),High Income,Active (0-30d),Silver Spender,Small Family (1 Kid),Widow,PhD,Established,Wines,606,0,Never Accepted,No Acceptance
70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,72,2364,0,0,0,1,0,0,0,1,0,0,1046,1016,0,Elderly (>60),High Income,Active (0-30d),Gold Spender,No Children,Together,Graduation,New Member,Wines,1076,0,Never Accepted,No Acceptance
25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,49,2563,0,1,0,0,0,0,0,1,0,0,19,4,0,Senior (46-60),Low Income,Inactive (>60d),Bronze Spender,Small Family (1 Kid),Married,Graduation,Established,GoldProds,34,0,Never Accepted,No Acceptance
32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,53,2208,0,0,0,1,0,0,0,1,0,0,11,11,0,Senior (46-60),Low Income,Active (0-30d),Bronze Spender,Large Family (>1 Kid),Together,Graduation,New Member,Wines,11,0,Never Accepted,No Acceptance
88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,41,2261,0,0,1,0,0,1,0,0,0,0,1236,1198,2,Middle-Aged (31-45),High Income,Active (0-30d),Gold Spender,Small Family (1 Kid),Single,2n Cycle,New Member,Wines,1274,2,Occasional Responder,Campaign 1
69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,62,2434,0,0,0,1,0,0,0,1,0,0,544,435,0,Elderly (>60),High Income,Active (0-30d),Silver Spender,Small Family (1 Kid),Together,Graduation,Established,Wines,653,0,Never Accepted,No Acceptance
74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,50,2606,0,0,0,1,0,0,0,1,0,0,1489,1416,0,Senior (46-60),High Income,Inactive (>60d),Gold Spender,Large Family (>1 Kid),Together,Graduation,Established,Wines,1562,0,Never Accepted,No Acceptance
66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,66,2815,0,1,0,0,0,0,0,0,1,0,1241,1229,0,Elderly (>60),High Income,Active (0-30d),Gold Spender,No Children,Married,Master,Long-term Member,Wines,1253,0,Never Accepted,No Acceptance
65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,61,2628,0,1,0,0,0,0,0,1,0,0,777,691,0,Elderly (>60),High Income,Active (0-30d),Gold Spender,Small Family (1 Kid),Married,Graduation,Established,MeatProducts,863,0,Never Accepted,No Acceptance
60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,45,2609,0,1,0,0,0,0,0,0,0,1,642,623,1,Middle-Aged (31-45),Medium Income,Inactive (>60d),Silver Spender,Large Family (>1 Kid),Married,PhD,Established,Wines,661,1,Occasional Responder,Campaign 4
28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,68,2219,0,1,0,0,0,0,0,1,0,0,56,47,0,Elderly (>60),Low Income,At-Risk (31-60d),Bronze Spender,No Children,Married,Graduation,New Member,SweetProducts,65,0,Never Accepted,No Acceptance
40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,43,2716,1,0,0,0,0,0,0,1,0,0,12,11,0,Middle-Aged (31-45),Medium Income,Inactive (>60d),Bronze Spender,Small Family (1 Kid),Divorced,Graduation,Long-term Member,MeatProducts,13,0,Never Accepted,No Acceptance
75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,48,2830,0,1,0,0,0,0,0,0,1,0,1872,1854,0,Senior (46-60),High Income,At-Risk (31-60d),Gold Spender,No Children,Married,Master,Long-term Member,MeatProducts,1890,0,Never Accepted,No Acceptance
75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,44,2784,0,0,1,0,0,0,0,1,0,0,2158,2107,1,Middle-Aged (31-45),High Income,At-Risk (31-60d),Gold Spender,No Children,Single,Graduation,Long-term Member,Wines,2209,1,Occasional Responder,Campaign 3
26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,44,2457,0,0,0,1,0,1,0,0,0,0,9,0,0,Middle-Aged (31-45),Low Income,Active (0-30d),Bronze Spender,No Children,Together,2n Cycle,Established,GoldProds,18,0,Never Accepted,No Acceptance
56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,55,2702,0,0,0,1,0,0,0,1,0,0,641,590,1,Senior (46-60),Medium Income,Active (0-30d),Silver Spender,No Children,Together,Graduation,Long-term Member,Wines,692,1,Occasional Responder,Campaign 3
29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,35,2828,0,0,1,0,0,0,0,1,0,0,148,131,0,Middle-Aged (31-45),Low Income,Inactive (>60d),Silver Spender,Small Family (1 Kid),Single,Graduation,Long-term Member,MeatProducts,165,0,Never Accepted,No Acceptance
26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,51,2530,0,1,0,0,0,0,0,1,0,0,12,8,0,Senior (46-60),Low Income,Active (0-30d),Bronze Spender,Small Family (1 Kid),Married,Graduation,Established,MeatProducts,16,0,Never Accepted,No Acceptance
23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,47,2520,0,1,0,0,0,1,0,0,0,0,56,33,0,Senior (46-60),Low Income,Inactive (>60d),Bronze Spender,Small Family (1 Kid),Married,2n Cycle,Established,Wines,79,0,Never Accepted,No Acceptance
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,57,2573,0,0,0,1,0,0,0,0,1,0,229,140,0,Senior (46-60),Low Income,At-Risk (31-60d),Silver Spender,No Children,Together,Master,Established,Wines,318,0,Never Accepted,No Acceptance
81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,33,2283,1,0,0,0,0,0,0,1,0,0,702,626,0,Middle-Aged (31-45),High Income,Active (0-30d),Silver Spender,No Children,Divorced,Graduation,New Member,MeatProducts,778,0,Never Accepted,No Acceptance
29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,60,2481,0,1,0,0,0,0,0,1,0,0,53,50,0,Senior (46-60),Low Income,Inactive (>60d),Bronze Spender,Large Family (>1 Kid),Married,Graduation,Established,Wines,56,0,Never Accepted,No Acceptance
36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,50,2507,0,1,0,0,0,0,0,0,1,0,146,141,1,Senior (46-60),Low Income,At-Risk (31-60d),Silver Spender,Large Family (>1 Kid),Married,Master,Established,Wines,151,1,Occasional Responder,Campaign 4
50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,63,2191,0,0,1,0,0,0,0,1,0,0,338,304,2,Elderly (>60),Medium Income,Active (0-30d),Silver Spender,Small Family (1 Kid),Single,Graduation,New Member,Wines,372,2,Occasional Responder,Campaign 1
79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,47,2207,0,1,0,0,0,0,0,1,0,0,1221,1076,1,Senior (46-60),High Income,Inactive (>60d),Gold Spender,No Children,Married,Graduation,New Member,MeatProducts,1366,1,Occasional Responder,Campaign 5
